clave,var1(t-72),var2(t-72),var3(t-72),var4(t-72),var5(t-72),var6(t-72),var7(t-72),var8(t-72),var9(t-72),obj
4/1/2018 01:00,653,434,329,24.4901424590337,0,7.839765074307975,61.41917388531127,workday,0,141
4/1/2018 02:00,694,492,360,22.585207096486446,0,8.921406914660562,47.906915488103905,workday,0,154
4/1/2018 03:00,861,386,411,24.94306561430208,0,6.316695759033285,48.36535707843388,workday,0,165
4/1/2018 04:00,783,518,381,27.569089569224076,0,8.722836033535277,40.63419405861087,workday,0,168
4/1/2018 05:00,646,364,376,22.29753987582999,0,9.724185474716476,33.85249396245497,workday,0,138
4/1/2018 06:00,642,542,327,22.29758912915246,0,10.739918538732702,33.298928743730166,workday,0,151
4/1/2018 07:00,1702,1215,864,27.737638446522176,0,9.497913477276398,43.27474005327319,workday,0,378
4/1/2018 08:00,1750,1118,870,25.302304187458727,0,6.134796725827204,49.130344000417765,workday,0,373
4/1/2018 09:00,1555,1070,805,21.591576842195146,0,11.704542276459525,27.536625307701595,workday,0,343
4/1/2018 10:00,1757,1101,863,24.627680130757895,0,11.872317012748479,69.55586725352813,workday,0,372
4/1/2018 11:00,579,321,316,21.609746921562614,0,9.225134510541565,36.65229359620477,workday,0,121
4/1/2018 12:00,693,579,333,21.60281073928923,0,7.496116757702691,34.71295159501888,workday,0,160
4/1/2018 13:00,893,535,333,23.725886814698104,0,7.936764127076909,44.66082130830267,workday,0,176
4/1/2018 14:00,727,395,334,17.260159266026605,0,8.592955204563829,20.0,workday,0,145
4/1/2018 15:00,678,507,329,17.8252465024609,0,9.55733691239532,49.34063079924626,workday,0,151
4/1/2018 16:00,1455,835,777,21.313137412277083,0,8.39102943698052,33.11709320482301,workday,0,306
4/1/2018 17:00,1397,1048,772,19.961506638996728,0,7.2832249321976485,21.935828834213652,workday,0,321
4/1/2018 18:00,1422,1058,725,23.94274199778582,0,11.046019768432874,46.72141423380818,workday,0,320
4/1/2018 19:00,1438,936,784,20.27592777343637,0,9.514571776148202,46.70605230970287,workday,0,315
4/1/2018 20:00,713,615,271,18.763088895994127,0,6.895255955128103,68.34309202876204,workday,0,159
